tweet_id,expanded_urls,rating_numerator,rating_denominator,dog_class,jpg_url,dog_type,confidence_level,retweet_count,fav_count
666020888022790149,https://twitter.com/dog_rates/status/666020888022790149/photo/1,8,10,,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,Welsh_springer_spaniel,0.465074,532,2535
666029285002620928,https://twitter.com/dog_rates/status/666029285002620928/photo/1,7,10,,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,redbone,0.506826,48,132
666033412701032449,https://twitter.com/dog_rates/status/666033412701032449/photo/1,9,10,,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,German_shepherd,0.596461,47,128
666044226329800704,https://twitter.com/dog_rates/status/666044226329800704/photo/1,6,10,,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,Rhodesian_ridgeback,0.408143,147,311
666049248165822465,https://twitter.com/dog_rates/status/666049248165822465/photo/1,5,10,,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,miniature_pinscher,0.560311,41,111
666050758794694657,https://twitter.com/dog_rates/status/666050758794694657/photo/1,10,10,,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,Bernese_mountain_dog,0.651137,60,136
666055525042405380,https://twitter.com/dog_rates/status/666055525042405380/photo/1,10,10,,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,chow,0.692517,261,448
666057090499244032,https://twitter.com/dog_rates/status/666057090499244032/photo/1,9,10,,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,golden_retriever,0.00795896,146,304
666058600524156928,https://twitter.com/dog_rates/status/666058600524156928/photo/1,8,10,,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,miniature_poodle,0.201493,61,115
666063827256086533,https://twitter.com/dog_rates/status/666063827256086533/photo/1,10,10,,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,golden_retriever,0.77593,232,496
666071193221509120,https://twitter.com/dog_rates/status/666071193221509120/photo/1,9,10,,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,Gordon_setter,0.503672,67,154
666073100786774016,https://twitter.com/dog_rates/status/666073100786774016/photo/1,10,10,,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,Walker_hound,0.260857,174,335
666082916733198337,https://twitter.com/dog_rates/status/666082916733198337/photo/1,6,10,,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,pug,0.489814,47,121
666094000022159362,https://twitter.com/dog_rates/status/666094000022159362/photo/1,9,10,,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,bloodhound,0.195217,79,169
666099513787052032,https://twitter.com/dog_rates/status/666099513787052032/photo/1,8,10,,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,Lhasa,0.58233,73,164
666102155909144576,https://twitter.com/dog_rates/status/666102155909144576/photo/1,11,10,,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,English_setter,0.298617,16,81
666273097616637952,https://twitter.com/dog_rates/status/666273097616637952/photo/1,11,10,,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,Italian_greyhound,0.176053,82,184
666337882303524864,https://twitter.com/dog_rates/status/666337882303524864/photo/1,9,10,,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,Newfoundland,0.278407,96,204
666345417576210432,https://twitter.com/dog_rates/status/666345417576210432/photo/1,10,10,,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,golden_retriever,0.8587440000000001,146,307
666353288456101888,https://twitter.com/dog_rates/status/666353288456101888/photo/1,8,10,,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg,malamute,0.33687399999999995,77,229
666373753744588802,https://twitter.com/dog_rates/status/666373753744588802/photo/1,11,10,,https://pbs.twimg.com/media/CT9vZEYWUAAlZ05.jpg,soft-coated_wheaten_terrier,0.326467,100,194
666396247373291520,https://twitter.com/dog_rates/status/666396247373291520/photo/1,9,10,,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg,Chihuahua,0.978108,92,172
666407126856765440,https://twitter.com/dog_rates/status/666407126856765440/photo/1,7,10,,https://pbs.twimg.com/media/CT-NvwmW4AAugGZ.jpg,black-and-tan_coonhound,0.529139,44,113
666418789513326592,https://twitter.com/dog_rates/status/666418789513326592/photo/1,10,10,,https://pbs.twimg.com/media/CT-YWb7U8AA7QnN.jpg,toy_terrier,0.14968,48,129
666421158376562688,https://twitter.com/dog_rates/status/666421158376562688/photo/1,12,10,,https://pbs.twimg.com/media/CT-aggCXAAIMfT3.jpg,Blenheim_spaniel,0.906777,118,327
666428276349472768,https://twitter.com/dog_rates/status/666428276349472768/photo/1,7,10,,https://pbs.twimg.com/media/CT-g-0DUwAEQdSn.jpg,Pembroke,0.371361,90,171
666430724426358785,https://twitter.com/dog_rates/status/666430724426358785/photo/1,6,10,,https://pbs.twimg.com/media/CT-jNYqW4AAPi2M.jpg,Irish_terrier,0.104109,204,330
